VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,VIOLATION TYPE
10C,Lighting inadequate. Bulb not shielded or shatterproof.,Not Critical,Pass or Not Critical
10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,Pass or Not Critical
10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,Pass or Not Critical
10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,Pass or Not Critical
10G,Food service operation occurring in room used as living or sleeping quarters.,Not Critical,Pass or Not Critical
10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,Pass or Not Critical
10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,Pass or Not Critical
10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,Pass or Not Critical
10K,"Immersion basket not provided, used or of incorrect size. Incorrect manual technique. Test kit and thermometer not provided or used. Improper drying practices.",Not Critical,Pass or Not Critical
15E,Out-of package sale of tobacco products observed.,Not Critical,Pass or Not Critical
15H,Sign prohibiting sale of tobacco products to minors not conspicuously posted.,Not Critical,Pass or Not Critical
15I,''''No Smoking and/or 'Smoking Permitted sign not conspicuously posted. Health warning not present on 'Smoking Permitted,Not Critical,Pass or Not Critical
15J,Ashtray present in smoke-free area.,Not Critical,Pass or Not Critical
15K,Operator failed to make good faith effort to inform smokers of the Smoke-free Act prohibition of smoking.,Not Critical,Pass or Not Critical
15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,Pass or Not Critical
15L,"Work place smoking policy inadequate, not posted, not provided.",Not Critical,Pass or Not Critical
15S,Flavored tobacco products sold or offered for sale.,Not Critical,Pass or Not Critical
15T,Original label for tobacco products sold or offered for sale.,Not Critical,Pass or Not Critical
16A,"A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served.",Not Critical,Pass or Not Critical
16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,Pass or Not Critical
16C,"Caloric content not posted on menus, menu boards or food tags, in a food service establishment that is 1 of 15 or more outlets operating the same type of business nationally under common ownership or control, or as a franchise or doing business under the same name, for each menu item that is served in portions, the size and content of which are standardized.",Not Critical,Pass or Not Critical
16E,"Caloric content range (minimum to maximum) not posted on menus and or menu boards for each flavor, variety and size of each menu item that is offered for sale in different flavors, varieties and sizes.",Not Critical,Pass or Not Critical
16F,"Specific caloric content or range thereof not posted on menus, menu boards or food tags for each menu item offered as a combination meal with multiple options that are listed as single items.",Not Critical,Pass or Not Critical
18B,"Document issued by the Board of Health, Commissioner or Department unlawfully reproduced or altered.",Not Critical,Pass or Not Critical
18C,"Notice of the Department of Board of Health mutilated, obstructed, or removed.",Not Critical,Pass or Not Critical
18D,"Failure to comply with an Order of the Board of Health, Commissioner, or Department.",Not Critical,Pass or Not Critical
18F,Permit not conspicuously displayed.,Not Critical,Pass or Not Critical
18G,Manufacture of frozen dessert not authorized on Food Service Establishment permit.,Not Critical,Pass or Not Critical
18I,"Choking first aid poster not posted. Alcohol and Pregnancy warning sign, inspection report sign; not posted. CPR sign not posted, equipment (resuscitation masks, adult & pediatric, latex gloves) not provided.",Not Critical,Pass or Not Critical
20A,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,Not Critical,Pass or Not Critical
20B,Food allergy information poster not posted in language understood by all food workers.,Not Critical,Pass or Not Critical
20D,"Choking first aid poster not posted. Alcohol and pregnancy warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",Not Critical,Pass or Not Critical
20E,Letter Grade or Grade Pending card not conspicuously posted and visible to passersby.,Not Critical,Pass or Not Critical
20F,Current letter grade card not posted.,Not Critical,Pass or Not Critical
22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,Pass or Not Critical
22B,Toilet facility used by women does not have at least one covered garbage receptacle.,Not Critical,Pass or Not Critical
22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,Pass or Not Critical
22E,ROP processing equipment not approved by DOHMH.,Not Critical,Pass or Not Critical
99B,Other general violation.,Not Critical,Pass or Not Critical
